league,season,date,home_team,away_team,home_goals,away_goals,status,source_updated_at
bundesliga,2627,2026-08-28 18:30:00,Bayern Munich,VfB Stuttgart,5,1,played,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-08-29 13:30:00,1. FC Union Berlin,Eintracht Frankfurt,3,3,played,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-08-29 13:30:00,FC Cologne,TSG Hoffenheim,3,2,played,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-08-29 13:30:00,Mainz,SC Paderborn 07,0,0,played,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-08-29 13:30:00,RB Leipzig,Borussia Mönchengladbach,3,0,played,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-08-29 13:30:00,SV Elversberg,Bayer Leverkusen,3,2,played,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-08-29 16:30:00,Borussia Dortmund,Hamburg SV,2,0,played,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-08-30 13:30:00,SC Freiburg,Werder Bremen,4,1,played,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-08-30 15:30:00,FC Augsburg,Schalke 04,3,0,played,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-09-04 18:30:00,VfB Stuttgart,FC Cologne,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-09-05 13:30:00,Bayer Leverkusen,1. FC Union Berlin,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-09-05 13:30:00,Borussia Mönchengladbach,SV Elversberg,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-09-05 13:30:00,SC Paderborn 07,SC Freiburg,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-09-05 13:30:00,TSG Hoffenheim,Borussia Dortmund,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-09-05 13:30:00,Werder Bremen,RB Leipzig,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-09-05 16:30:00,Schalke 04,Bayern Munich,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-09-06 13:30:00,Hamburg SV,Mainz,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-09-06 15:30:00,Eintracht Frankfurt,FC Augsburg,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-09-11 18:30:00,1. FC Union Berlin,Schalke 04,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-09-12 13:30:00,Borussia Dortmund,SC Paderborn 07,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-09-12 13:30:00,FC Augsburg,Bayer Leverkusen,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-09-12 13:30:00,Mainz,Eintracht Frankfurt,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-09-12 13:30:00,SC Freiburg,Borussia Mönchengladbach,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-09-12 13:30:00,TSG Hoffenheim,VfB Stuttgart,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-09-12 16:30:00,FC Cologne,Werder Bremen,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-09-13 13:30:00,RB Leipzig,Hamburg SV,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-09-13 15:30:00,SV Elversberg,Bayern Munich,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-09-18 18:30:00,Bayern Munich,1. FC Union Berlin,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-09-19 13:30:00,Borussia Mönchengladbach,Mainz,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-09-19 13:30:00,Eintracht Frankfurt,SC Freiburg,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-09-19 13:30:00,Hamburg SV,FC Cologne,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-09-19 13:30:00,Werder Bremen,FC Augsburg,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-09-19 16:30:00,VfB Stuttgart,Borussia Dortmund,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-09-20 13:30:00,Bayer Leverkusen,RB Leipzig,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-09-20 15:30:00,Schalke 04,SV Elversberg,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-09-20 17:30:00,SC Paderborn 07,TSG Hoffenheim,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-10-10 18:00:00,1. FC Union Berlin,SV Elversberg,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-10-10 18:00:00,Borussia Dortmund,Werder Bremen,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-10-10 18:00:00,FC Augsburg,Bayern Munich,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-10-10 18:00:00,FC Cologne,Borussia Mönchengladbach,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-10-10 18:00:00,Mainz,Bayer Leverkusen,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-10-10 18:00:00,RB Leipzig,Eintracht Frankfurt,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-10-10 18:00:00,SC Freiburg,Schalke 04,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-10-10 18:00:00,SC Paderborn 07,VfB Stuttgart,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-10-10 18:00:00,TSG Hoffenheim,Hamburg SV,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-10-17 18:00:00,1. FC Union Berlin,Borussia Dortmund,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-10-17 18:00:00,Bayer Leverkusen,SC Freiburg,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-10-17 18:00:00,Bayern Munich,RB Leipzig,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-10-17 18:00:00,Borussia Mönchengladbach,TSG Hoffenheim,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-10-17 18:00:00,Eintracht Frankfurt,FC Cologne,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-10-17 18:00:00,Hamburg SV,VfB Stuttgart,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-10-17 18:00:00,SV Elversberg,FC Augsburg,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-10-17 18:00:00,Schalke 04,Mainz,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-10-17 18:00:00,Werder Bremen,SC Paderborn 07,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-10-24 18:00:00,Borussia Dortmund,Eintracht Frankfurt,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-10-24 18:00:00,FC Augsburg,1. FC Union Berlin,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-10-24 18:00:00,FC Cologne,Schalke 04,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-10-24 18:00:00,Mainz,Werder Bremen,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-10-24 18:00:00,RB Leipzig,SV Elversberg,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-10-24 18:00:00,SC Freiburg,Bayern Munich,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-10-24 18:00:00,SC Paderborn 07,Hamburg SV,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-10-24 18:00:00,TSG Hoffenheim,Bayer Leverkusen,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-10-24 18:00:00,VfB Stuttgart,Borussia Mönchengladbach,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-10-31 18:00:00,1. FC Union Berlin,FC Cologne,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-10-31 18:00:00,Bayer Leverkusen,VfB Stuttgart,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-10-31 18:00:00,Bayern Munich,Borussia Dortmund,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-10-31 18:00:00,Borussia Mönchengladbach,SC Paderborn 07,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-10-31 18:00:00,Eintracht Frankfurt,Hamburg SV,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-10-31 18:00:00,FC Augsburg,SC Freiburg,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-10-31 18:00:00,SV Elversberg,Mainz,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-10-31 18:00:00,Schalke 04,RB Leipzig,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-10-31 18:00:00,Werder Bremen,TSG Hoffenheim,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-11-07 20:00:00,Borussia Dortmund,SV Elversberg,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-11-07 20:00:00,FC Cologne,Bayer Leverkusen,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-11-07 20:00:00,Hamburg SV,Borussia Mönchengladbach,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-11-07 20:00:00,Mainz,Bayern Munich,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-11-07 20:00:00,RB Leipzig,FC Augsburg,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-11-07 20:00:00,SC Freiburg,1. FC Union Berlin,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-11-07 20:00:00,SC Paderborn 07,Eintracht Frankfurt,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-11-07 20:00:00,TSG Hoffenheim,Schalke 04,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-11-07 20:00:00,VfB Stuttgart,Werder Bremen,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-11-21 20:00:00,1. FC Union Berlin,RB Leipzig,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-11-21 20:00:00,Bayer Leverkusen,SC Paderborn 07,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-11-21 20:00:00,Bayern Munich,FC Cologne,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-11-21 20:00:00,Borussia Mönchengladbach,Borussia Dortmund,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-11-21 20:00:00,Eintracht Frankfurt,TSG Hoffenheim,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-11-21 20:00:00,FC Augsburg,Mainz,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-11-21 20:00:00,SV Elversberg,SC Freiburg,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-11-21 20:00:00,Schalke 04,VfB Stuttgart,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-11-21 20:00:00,Werder Bremen,Hamburg SV,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-11-28 20:00:00,Borussia Dortmund,Bayer Leverkusen,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-11-28 20:00:00,FC Cologne,SV Elversberg,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-11-28 20:00:00,Hamburg SV,Bayern Munich,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-11-28 20:00:00,Mainz,1. FC Union Berlin,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-11-28 20:00:00,SC Freiburg,RB Leipzig,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-11-28 20:00:00,SC Paderborn 07,Schalke 04,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-11-28 20:00:00,TSG Hoffenheim,FC Augsburg,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-11-28 20:00:00,VfB Stuttgart,Eintracht Frankfurt,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-11-28 20:00:00,Werder Bremen,Borussia Mönchengladbach,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-12-05 20:00:00,1. FC Union Berlin,Hamburg SV,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-12-05 20:00:00,Bayer Leverkusen,Borussia Mönchengladbach,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-12-05 20:00:00,Bayern Munich,SC Paderborn 07,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-12-05 20:00:00,Eintracht Frankfurt,Werder Bremen,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-12-05 20:00:00,FC Augsburg,FC Cologne,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-12-05 20:00:00,RB Leipzig,Mainz,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-12-05 20:00:00,SC Freiburg,TSG Hoffenheim,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-12-05 20:00:00,SV Elversberg,VfB Stuttgart,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-12-05 20:00:00,Schalke 04,Borussia Dortmund,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-12-12 20:00:00,Borussia Dortmund,FC Augsburg,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-12-12 20:00:00,Borussia Mönchengladbach,Eintracht Frankfurt,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-12-12 20:00:00,FC Cologne,RB Leipzig,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-12-12 20:00:00,Hamburg SV,Schalke 04,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-12-12 20:00:00,Mainz,SC Freiburg,,,scheduled,2026-09-02 13:59:05.928401+00:00
bundesliga,2627,2026-12-12 20:00:00,SC Paderborn 07,SV Elversberg,,,scheduled,2026-09-02 13:59:05.928401+00:00
