league,season,date,home_team,away_team,home_goals,away_goals,status,source_updated_at
ligue_1,2627,2026-08-21 18:45:00,Olympique Marseille,Strasbourg,4,0,played,2026-09-02 13:59:04.440280+00:00
ligue_1,2627,2026-08-22 15:15:00,Lens,AJ Auxerre,5,2,played,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-08-22 18:45:00,Le Mans,Brest,2,2,played,2026-09-02 13:59:04.440280+00:00
ligue_1,2627,2026-08-22 18:45:00,Nice,Lorient,0,0,played,2026-09-02 13:59:04.440280+00:00
ligue_1,2627,2026-08-22 18:45:00,Toulouse,Olympique Lyonnais,0,2,played,2026-09-02 13:59:04.440280+00:00
ligue_1,2627,2026-08-22 18:45:00,Troyes,Paris FC,0,0,played,2026-09-02 13:59:04.440280+00:00
ligue_1,2627,2026-08-23 13:00:00,Angers,Lille,0,2,played,2026-09-02 13:59:04.440280+00:00
ligue_1,2627,2026-08-23 15:15:00,Le Havre AC,AS Monaco,0,1,played,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-08-23 18:45:00,Stade Rennais,Paris Saint-Germain,2,2,played,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-08-28 19:00:00,Lille,Paris Saint-Germain,2,2,played,2026-09-02 13:59:04.440280+00:00
ligue_1,2627,2026-08-29 15:15:00,Strasbourg,Lens,2,1,played,2026-09-02 13:59:04.440280+00:00
ligue_1,2627,2026-08-29 18:45:00,AJ Auxerre,Angers,1,3,played,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-08-29 18:45:00,Brest,Toulouse,2,2,played,2026-09-02 13:59:04.440280+00:00
ligue_1,2627,2026-08-29 18:45:00,Lorient,Troyes,1,2,played,2026-09-02 13:59:04.440280+00:00
ligue_1,2627,2026-08-29 18:45:00,Olympique Lyonnais,Le Havre AC,1,1,played,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-08-30 13:00:00,Paris FC,Nice,3,0,played,2026-09-02 13:59:04.440280+00:00
ligue_1,2627,2026-08-30 15:15:00,Stade Rennais,Le Mans,3,2,played,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-08-30 18:45:00,AS Monaco,Olympique Marseille,2,0,played,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-09-03 18:45:00,Toulouse,Lille,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-09-04 17:00:00,Olympique Lyonnais,AJ Auxerre,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-09-04 19:05:00,Paris Saint-Germain,AS Monaco,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-09-05 15:15:00,Lens,Lorient,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-09-05 18:45:00,Le Havre AC,Brest,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-09-05 18:45:00,Nice,Le Mans,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-09-06 13:00:00,Troyes,Strasbourg,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-09-06 15:15:00,Angers,Stade Rennais,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-09-06 18:45:00,Olympique Marseille,Paris FC,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-09-11 18:45:00,Stade Rennais,Olympique Marseille,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-09-12 15:15:00,Strasbourg,AS Monaco,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-09-12 18:45:00,AJ Auxerre,Nice,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-09-12 18:45:00,Le Havre AC,Angers,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-09-12 18:45:00,Lorient,Toulouse,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-09-12 18:45:00,Paris FC,Olympique Lyonnais,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-09-13 13:00:00,Lille,Troyes,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-09-13 15:15:00,Le Mans,Lens,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-09-13 18:45:00,Brest,Paris Saint-Germain,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-09-18 18:45:00,AS Monaco,Lens,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-09-19 15:15:00,Paris FC,Strasbourg,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-09-19 18:45:00,Angers,Troyes,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-09-19 18:45:00,Le Mans,Lorient,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-09-19 18:45:00,Olympique Lyonnais,Stade Rennais,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-09-19 18:45:00,Toulouse,Le Havre AC,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-09-20 13:00:00,AJ Auxerre,Brest,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-09-20 15:15:00,Nice,Lille,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-09-20 18:45:00,Olympique Marseille,Paris Saint-Germain,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-10-09 18:45:00,Lens,Olympique Lyonnais,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-10-10 15:15:00,Lille,Le Havre AC,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-10-10 18:45:00,AS Monaco,Toulouse,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-10-10 18:45:00,Brest,Angers,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-10-10 18:45:00,Lorient,Paris FC,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-10-10 18:45:00,Paris Saint-Germain,Le Mans,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-10-11 13:00:00,Nice,Strasbourg,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-10-11 15:15:00,Stade Rennais,AJ Auxerre,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-10-11 18:45:00,Troyes,Olympique Marseille,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-10-16 18:45:00,Le Mans,Toulouse,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-10-17 15:15:00,Strasbourg,Paris Saint-Germain,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-10-17 18:45:00,Lille,Brest,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-10-17 18:45:00,Troyes,Lens,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-10-18 13:00:00,Angers,Olympique Marseille,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-10-18 15:15:00,Le Havre AC,AJ Auxerre,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-10-18 15:15:00,Lorient,AS Monaco,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-10-18 15:15:00,Paris FC,Stade Rennais,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-10-18 18:45:00,Olympique Lyonnais,Nice,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-10-23 18:45:00,Brest,Nice,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-10-24 15:15:00,Toulouse,Troyes,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-10-24 18:45:00,Lens,Paris FC,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-10-25 14:00:00,AS Monaco,Lille,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-10-25 16:15:00,AJ Auxerre,Le Mans,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-10-25 16:15:00,Angers,Lorient,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-10-25 16:15:00,Olympique Marseille,Le Havre AC,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-10-25 16:15:00,Stade Rennais,Strasbourg,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-10-25 19:45:00,Paris Saint-Germain,Olympique Lyonnais,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-10-31 18:00:00,Le Havre AC,Paris Saint-Germain,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-10-31 18:00:00,Lille,Lens,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-10-31 18:00:00,Lorient,Brest,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-10-31 18:00:00,Nice,Stade Rennais,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-10-31 18:00:00,Olympique Lyonnais,Angers,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-10-31 18:00:00,Olympique Marseille,Toulouse,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-10-31 18:00:00,Paris FC,AS Monaco,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-10-31 18:00:00,Strasbourg,AJ Auxerre,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-10-31 18:00:00,Troyes,Le Mans,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-11-07 19:45:00,Lens,Olympique Marseille,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-11-07 20:00:00,AJ Auxerre,Paris FC,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-11-07 20:00:00,Angers,Nice,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-11-07 20:00:00,Brest,Olympique Lyonnais,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-11-07 20:00:00,Le Havre AC,Lorient,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-11-07 20:00:00,Le Mans,AS Monaco,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-11-07 20:00:00,Paris Saint-Germain,Troyes,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-11-07 20:00:00,Stade Rennais,Lille,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-11-07 20:00:00,Toulouse,Strasbourg,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-11-21 20:00:00,AS Monaco,AJ Auxerre,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-11-21 20:00:00,Lens,Toulouse,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-11-21 20:00:00,Lille,Olympique Lyonnais,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-11-21 20:00:00,Lorient,Stade Rennais,,,scheduled,2026-09-02 13:59:03.593297+00:00
ligue_1,2627,2026-11-21 20:00:00,Nice,Paris Saint-Germain,,,scheduled,2026-09-02 13:59:03.593297+00:00
