league,season,date,home_team,away_team,home_goals,away_goals,status,source_updated_at
ligue_1,2425,2024-08-16,Le Havre,Paris Saint-Germain,1,4,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-08-17,Brest,Olympique Marseille,1,5,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-08-17,Reims,Lille,0,2,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-08-17,Monaco,Saint-Etienne,1,0,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-08-18,Auxerre,Nice,2,1,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-08-18,Angers,Lens,0,1,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-08-18,Montpellier,Strasbourg,1,1,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-08-18,Toulouse,Nantes,0,0,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-08-18,Rennes,Olympique Lyonnais,3,0,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-08-23,Paris Saint-Germain,Montpellier,6,0,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-08-24,Olympique Lyonnais,Monaco,0,2,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-08-24,Lille,Angers,2,0,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-08-24,Saint-Etienne,Le Havre,0,2,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-08-25,Lens,Brest,2,0,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-08-25,Nantes,Auxerre,2,0,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-08-25,Nice,Toulouse,1,1,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-08-25,Strasbourg,Rennes,3,1,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-08-25,Olympique Marseille,Reims,2,2,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-08-30,Olympique Lyonnais,Strasbourg,4,3,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-08-31,Brest,Saint-Etienne,4,0,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-08-31,Montpellier,Nantes,1,3,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-08-31,Toulouse,Olympique Marseille,1,3,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-09-01,Monaco,Lens,1,1,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-09-01,Angers,Nice,1,4,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-09-01,Le Havre,Auxerre,3,1,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-09-01,Reims,Rennes,2,1,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-09-01,Lille,Paris Saint-Germain,1,3,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-09-13,Saint-Etienne,Lille,1,0,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-09-14,Olympique Marseille,Nice,2,0,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-09-14,Auxerre,Monaco,0,3,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-09-14,Paris Saint-Germain,Brest,3,1,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-09-15,Rennes,Montpellier,3,0,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-09-15,Nantes,Reims,1,2,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-09-15,Strasbourg,Angers,1,1,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-09-15,Toulouse,Le Havre,2,0,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-09-15,Lens,Olympique Lyonnais,0,0,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-09-20,Nice,Saint-Etienne,8,0,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-09-21,Lille,Strasbourg,3,3,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-09-21,Rennes,Lens,1,1,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-09-21,Reims,Paris Saint-Germain,1,1,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-09-22,Monaco,Le Havre,3,1,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-09-22,Angers,Nantes,1,1,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-09-22,Brest,Toulouse,2,0,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-09-22,Montpellier,Auxerre,3,2,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-09-22,Olympique Lyonnais,Olympique Marseille,2,3,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-09-27,Auxerre,Brest,3,0,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-09-27,Paris Saint-Germain,Rennes,3,1,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-09-28,Lens,Nice,0,0,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-09-28,Le Havre,Lille,0,3,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-09-28,Monaco,Montpellier,2,1,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-09-29,Toulouse,Olympique Lyonnais,1,2,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-09-29,Angers,Reims,1,3,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-09-29,Nantes,Saint-Etienne,2,2,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-09-29,Strasbourg,Olympique Marseille,1,0,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-10-04,Olympique Marseille,Angers,1,1,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-10-05,Saint-Etienne,Auxerre,3,1,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-10-05,Lille,Toulouse,2,1,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-10-05,Rennes,Monaco,1,2,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-10-06,Olympique Lyonnais,Nantes,2,0,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-10-06,Brest,Le Havre,2,0,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-10-06,Reims,Montpellier,4,2,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-10-06,Strasbourg,Lens,2,2,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-10-06,Nice,Paris Saint-Germain,1,1,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-10-18,Monaco,Lille,0,0,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-10-19,Brest,Rennes,1,1,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-10-19,Saint-Etienne,Lens,0,2,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-10-19,Paris Saint-Germain,Strasbourg,4,2,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-10-20,Le Havre,Olympique Lyonnais,0,4,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-10-20,Auxerre,Reims,2,1,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-10-20,Nantes,Nice,1,1,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-10-20,Toulouse,Angers,1,1,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-10-20,Montpellier,Olympique Marseille,0,5,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-10-25,Rennes,Le Havre,1,0,played,2026-08-27 22:28:12.611627+00:00
ligue_1,2425,2024-10-26,Angers,Saint-Etienne,4,2,played,2026-08-27 22:28:12.611627+00:00
