league,season,date,home_team,away_team,home_goals,away_goals,status,source_updated_at
bundesliga,2425,2024-08-23,Borussia Monchengladbach,Bayer Leverkusen,2,3,played,2026-08-27 22:28:21.078377+00:00
bundesliga,2425,2024-08-24,Augsburg,Werder Bremen,2,2,played,2026-08-27 22:28:21.078377+00:00
bundesliga,2425,2024-08-24,Freiburg,Stuttgart,3,1,played,2026-08-27 22:28:21.078377+00:00
bundesliga,2425,2024-08-24,Hoffenheim,Holstein Kiel,3,2,played,2026-08-27 22:28:21.078377+00:00
bundesliga,2425,2024-08-24,Mainz,Union Berlin,1,1,played,2026-08-27 22:28:21.078377+00:00
bundesliga,2425,2024-08-24,RB Leipzig,Bochum,1,0,played,2026-08-27 22:28:21.078377+00:00
bundesliga,2425,2024-08-24,Borussia Dortmund,Eintracht Frankfurt,2,0,played,2026-08-27 22:28:21.078377+00:00
bundesliga,2425,2024-08-25,Wolfsburg,Bayern Munich,2,3,played,2026-08-27 22:28:21.078377+00:00
bundesliga,2425,2024-08-25,St Pauli,Heidenheim,0,2,played,2026-08-27 22:28:21.078377+00:00
bundesliga,2425,2024-08-30,Union Berlin,St Pauli,1,0,played,2026-08-27 22:28:21.078377+00:00
bundesliga,2425,2024-08-31,Bochum,Borussia Monchengladbach,0,2,played,2026-08-27 22:28:21.078377+00:00
bundesliga,2425,2024-08-31,Eintracht Frankfurt,Hoffenheim,3,1,played,2026-08-27 22:28:21.078377+00:00
bundesliga,2425,2024-08-31,Holstein Kiel,Wolfsburg,0,2,played,2026-08-27 22:28:21.078377+00:00
bundesliga,2425,2024-08-31,Stuttgart,Mainz,3,3,played,2026-08-27 22:28:21.078377+00:00
bundesliga,2425,2024-08-31,Werder Bremen,Borussia Dortmund,0,0,played,2026-08-27 22:28:21.078377+00:00
bundesliga,2425,2024-08-31,Bayer Leverkusen,RB Leipzig,2,3,played,2026-08-27 22:28:21.078377+00:00
bundesliga,2425,2024-09-01,Heidenheim,Augsburg,4,0,played,2026-08-27 22:28:21.078377+00:00
bundesliga,2425,2024-09-01,Bayern Munich,Freiburg,2,0,played,2026-08-27 22:28:21.078377+00:00
bundesliga,2425,2024-09-13,Borussia Dortmund,Heidenheim,4,2,played,2026-08-27 22:28:21.078377+00:00
bundesliga,2425,2024-09-14,Freiburg,Bochum,2,1,played,2026-08-27 22:28:21.078377+00:00
bundesliga,2425,2024-09-14,Hoffenheim,Bayer Leverkusen,1,4,played,2026-08-27 22:28:21.078377+00:00
bundesliga,2425,2024-09-14,Borussia Monchengladbach,Stuttgart,1,3,played,2026-08-27 22:28:21.078377+00:00
bundesliga,2425,2024-09-14,RB Leipzig,Union Berlin,0,0,played,2026-08-27 22:28:21.078377+00:00
bundesliga,2425,2024-09-14,Wolfsburg,Eintracht Frankfurt,1,2,played,2026-08-27 22:28:21.078377+00:00
bundesliga,2425,2024-09-14,Holstein Kiel,Bayern Munich,1,6,played,2026-08-27 22:28:21.078377+00:00
bundesliga,2425,2024-09-15,Augsburg,St Pauli,3,1,played,2026-08-27 22:28:21.078377+00:00
bundesliga,2425,2024-09-15,Mainz,Werder Bremen,1,2,played,2026-08-27 22:28:21.078377+00:00
bundesliga,2425,2024-09-20,Augsburg,Mainz,2,3,played,2026-08-27 22:28:21.078377+00:00
bundesliga,2425,2024-09-21,Bochum,Holstein Kiel,2,2,played,2026-08-27 22:28:21.078377+00:00
bundesliga,2425,2024-09-21,Heidenheim,Freiburg,0,3,played,2026-08-27 22:28:21.078377+00:00
bundesliga,2425,2024-09-21,Union Berlin,Hoffenheim,2,1,played,2026-08-27 22:28:21.078377+00:00
bundesliga,2425,2024-09-21,Werder Bremen,Bayern Munich,0,5,played,2026-08-27 22:28:21.078377+00:00
bundesliga,2425,2024-09-21,Eintracht Frankfurt,Borussia Monchengladbach,2,0,played,2026-08-27 22:28:21.078377+00:00
bundesliga,2425,2024-09-22,Bayer Leverkusen,Wolfsburg,4,3,played,2026-08-27 22:28:21.078377+00:00
bundesliga,2425,2024-09-22,Stuttgart,Borussia Dortmund,5,1,played,2026-08-27 22:28:21.078377+00:00
bundesliga,2425,2024-09-22,St Pauli,RB Leipzig,0,0,played,2026-08-27 22:28:21.078377+00:00
bundesliga,2425,2024-09-27,Borussia Dortmund,Bochum,4,2,played,2026-08-27 22:28:21.078377+00:00
bundesliga,2425,2024-09-28,Freiburg,St Pauli,0,3,played,2026-08-27 22:28:21.078377+00:00
bundesliga,2425,2024-09-28,Mainz,Heidenheim,0,2,played,2026-08-27 22:28:21.078377+00:00
bundesliga,2425,2024-09-28,Borussia Monchengladbach,Union Berlin,1,0,played,2026-08-27 22:28:21.078377+00:00
bundesliga,2425,2024-09-28,RB Leipzig,Augsburg,4,0,played,2026-08-27 22:28:21.078377+00:00
bundesliga,2425,2024-09-28,Wolfsburg,Stuttgart,2,2,played,2026-08-27 22:28:21.078377+00:00
bundesliga,2425,2024-09-28,Bayern Munich,Bayer Leverkusen,1,1,played,2026-08-27 22:28:21.078377+00:00
bundesliga,2425,2024-09-29,Holstein Kiel,Eintracht Frankfurt,2,4,played,2026-08-27 22:28:21.078377+00:00
bundesliga,2425,2024-09-29,Hoffenheim,Werder Bremen,3,4,played,2026-08-27 22:28:21.078377+00:00
bundesliga,2425,2024-10-04,Augsburg,Borussia Monchengladbach,2,1,played,2026-08-27 22:28:21.078377+00:00
bundesliga,2425,2024-10-05,Bochum,Wolfsburg,1,3,played,2026-08-27 22:28:21.078377+00:00
