league,season,date,home_team,away_team,home_goals,away_goals,status,source_updated_at
bundesliga,2223,2022-08-05,Eintracht Frankfurt,Bayern Munich,1,6,played,2026-08-27 22:28:19.443555+00:00
bundesliga,2223,2022-08-06,Augsburg,Freiburg,0,4,played,2026-08-27 22:28:19.443555+00:00
bundesliga,2223,2022-08-06,Bochum,Mainz,1,2,played,2026-08-27 22:28:19.443555+00:00
bundesliga,2223,2022-08-06,Borussia Monchengladbach,Hoffenheim,3,1,played,2026-08-27 22:28:19.443555+00:00
bundesliga,2223,2022-08-06,Union Berlin,Hertha,3,1,played,2026-08-27 22:28:19.443555+00:00
bundesliga,2223,2022-08-06,Wolfsburg,Werder Bremen,2,2,played,2026-08-27 22:28:19.443555+00:00
bundesliga,2223,2022-08-06,Borussia Dortmund,Bayer Leverkusen,1,0,played,2026-08-27 22:28:19.443555+00:00
bundesliga,2223,2022-08-07,Stuttgart,RB Leipzig,1,1,played,2026-08-27 22:28:19.443555+00:00
bundesliga,2223,2022-08-07,FC Cologne,Schalke 04,3,1,played,2026-08-27 22:28:19.443555+00:00
bundesliga,2223,2022-08-12,Freiburg,Borussia Dortmund,1,3,played,2026-08-27 22:28:19.443555+00:00
bundesliga,2223,2022-08-13,Hertha,Eintracht Frankfurt,1,1,played,2026-08-27 22:28:19.443555+00:00
bundesliga,2223,2022-08-13,Hoffenheim,Bochum,3,2,played,2026-08-27 22:28:19.443555+00:00
bundesliga,2223,2022-08-13,Bayer Leverkusen,Augsburg,1,2,played,2026-08-27 22:28:19.443555+00:00
bundesliga,2223,2022-08-13,RB Leipzig,FC Cologne,2,2,played,2026-08-27 22:28:19.443555+00:00
bundesliga,2223,2022-08-13,Werder Bremen,Stuttgart,2,2,played,2026-08-27 22:28:19.443555+00:00
bundesliga,2223,2022-08-13,Schalke 04,Borussia Monchengladbach,2,2,played,2026-08-27 22:28:19.443555+00:00
bundesliga,2223,2022-08-14,Mainz,Union Berlin,0,0,played,2026-08-27 22:28:19.443555+00:00
bundesliga,2223,2022-08-14,Bayern Munich,Wolfsburg,2,0,played,2026-08-27 22:28:19.443555+00:00
bundesliga,2223,2022-08-19,Borussia Monchengladbach,Hertha,1,0,played,2026-08-27 22:28:19.443555+00:00
bundesliga,2223,2022-08-20,Augsburg,Mainz,1,2,played,2026-08-27 22:28:19.443555+00:00
bundesliga,2223,2022-08-20,Borussia Dortmund,Werder Bremen,2,3,played,2026-08-27 22:28:19.443555+00:00
bundesliga,2223,2022-08-20,Bayer Leverkusen,Hoffenheim,0,3,played,2026-08-27 22:28:19.443555+00:00
bundesliga,2223,2022-08-20,Stuttgart,Freiburg,0,1,played,2026-08-27 22:28:19.443555+00:00
bundesliga,2223,2022-08-20,Wolfsburg,Schalke 04,0,0,played,2026-08-27 22:28:19.443555+00:00
bundesliga,2223,2022-08-20,Union Berlin,RB Leipzig,2,1,played,2026-08-27 22:28:19.443555+00:00
bundesliga,2223,2022-08-21,Eintracht Frankfurt,FC Cologne,1,1,played,2026-08-27 22:28:19.443555+00:00
bundesliga,2223,2022-08-21,Bochum,Bayern Munich,0,7,played,2026-08-27 22:28:19.443555+00:00
bundesliga,2223,2022-08-26,Freiburg,Bochum,1,0,played,2026-08-27 22:28:19.443555+00:00
