Pos,Team,MP,W,D,L,GF,GA,GD,Pts,Last5,Pts_zscore,GD_zscore,Pts_pct,GD_pct,Strength
1,Arsenal,35,23,7,5,67,26,41,76,"['W', 'L', 'L', 'W', 'W']",2.04,2.2,100.0,100.0,Strong
2,Man City,34,21,8,5,69,32,37,71,"['D', 'W', 'W', 'W', 'D']",1.68,1.99,95.0,95.0,Strong
3,Man United,35,18,10,7,63,48,15,64,"['D', 'L', 'W', 'W', 'W']",1.17,0.81,90.0,90.0,Strong
4,Liverpool,35,17,7,11,59,47,12,58,"['L', 'W', 'W', 'W', 'L']",0.74,0.65,82.5,85.0,Above Average
5,Aston Villa,35,17,7,11,48,44,4,58,"['W', 'D', 'W', 'L', 'L']",0.74,0.22,82.5,65.0,Above Average
6,Bournemouth,35,12,16,7,55,52,3,52,"['D', 'W', 'W', 'D', 'W']",0.31,0.16,75.0,60.0,Above Average
7,Brentford,35,14,9,12,52,46,6,51,"['D', 'D', 'D', 'L', 'W']",0.23,0.32,70.0,72.5,Above Average
8,Brighton,35,13,11,11,49,42,7,50,"['W', 'W', 'D', 'W', 'L']",0.16,0.38,65.0,80.0,Above Average
9,Chelsea,35,13,9,13,54,48,6,48,"['L', 'L', 'L', 'L', 'L']",0.02,0.32,55.0,72.5,Above Average
10,Everton,35,13,9,13,44,44,0,48,"['W', 'D', 'L', 'L', 'D']",0.02,0.0,55.0,55.0,Above Average
11,Fulham,35,14,6,15,44,49,-5,48,"['W', 'L', 'D', 'W', 'L']",0.02,-0.27,55.0,37.5,Above Average
12,Sunderland,35,12,11,12,37,46,-9,47,"['W', 'W', 'L', 'L', 'D']",-0.05,-0.48,45.0,22.5,Average
13,Newcastle,35,13,6,16,49,51,-2,45,"['L', 'L', 'L', 'L', 'W']",-0.2,-0.11,40.0,47.5,Average
14,Leeds,35,10,13,12,47,52,-5,43,"['D', 'W', 'W', 'D', 'W']",-0.34,-0.27,32.5,37.5,Average
15,Crystal Palace,34,11,10,13,36,42,-6,43,"['D', 'W', 'D', 'L', 'L']",-0.34,-0.32,32.5,30.0,Average
16,Nott'm Forest,35,11,9,15,44,46,-2,42,"['W', 'D', 'W', 'W', 'W']",-0.41,-0.11,25.0,47.5,Average
17,Tottenham,35,9,10,16,45,54,-9,37,"['L', 'L', 'D', 'W', 'W']",-0.78,-0.48,20.0,22.5,Average
18,West Ham,35,9,9,17,42,61,-19,36,"['L', 'W', 'D', 'W', 'L']",-0.85,-1.02,15.0,15.0,Average
19,Burnley,35,4,8,23,35,71,-36,20,"['L', 'L', 'L', 'L', 'L']",-2.0,-1.94,10.0,10.0,Weak
20,Wolves,35,3,9,23,25,63,-38,18,"['D', 'L', 'L', 'L', 'D']",-2.15,-2.04,5.0,5.0,Weak
