Team,EloRating,Rank 
Arsenal,1615.0,1
Man City,1601.7,2
Man United,1572.9,3
Liverpool,1548.0,4
Aston Villa,1540.1,5
Bournemouth,1532.8,6
Brighton,1525.8,7
Brentford,1513.7,8
Fulham,1511.3,9
Sunderland,1505.6,10
Chelsea,1495.5,11
Everton,1494.7,12
Leeds,1484.4,13
Crystal Palace,1481.3,14
Newcastle,1474.4,15
Nott'm Forest,1457.9,16
Tottenham,1452.7,17
Coventry City,1448.0,18
Ipswich Town,1442.0,19
Hull City,1436.0,20
