Team,EloRating
Arsenal,1615.0
Man City,1601.7
Man United,1572.9
Liverpool,1548.0
Aston Villa,1540.1
Bournemouth,1532.8
Brighton,1525.8
Brentford,1513.7
Fulham,1511.3
Sunderland,1505.6
Chelsea,1495.5
Everton,1494.7
Leeds,1484.4
Crystal Palace,1481.3
Newcastle,1474.4
Nott'm Forest,1457.9
Tottenham,1452.7
Coventry City,1448.0
Ipswich Town,1442.0
Hull City,1436.0
