Team,EloRating
Fulham,1511.3
Man United,1572.9
Brighton,1525.8
Chelsea,1495.5
Crystal Palace,1481.3
Man City,1601.7
West Ham,1444.5
Aston Villa,1540.1
Burnley,1382.1
Newcastle,1474.4
Sunderland,1505.6
Bournemouth,1532.8
Nott'm Forest,1457.9
Wolves,1365.6
Arsenal,1615.0
Tottenham,1452.7
Everton,1494.7
Liverpool,1548.0
Brentford,1513.7
Leeds,1484.4
